City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,pembroke,45.8168,-77.1162,6.99,88,81,1.57,CA,1728431477
251,dryden,49.7833,-92.7503,10.16,53,20,2.06,CA,1728431478
252,south hedland,-20.4089,118.5983,32.96,24,87,7.72,AU,1728431479
253,luganville,-15.5333,167.1667,26.32,79,83,5.18,VU,1728431480
254,nizhniy kuranakh,58.8353,125.4869,-0.95,58,99,1.52,RU,1728431482
255,sharlyk,52.9167,54.75,12.72,40,100,3.19,RU,1728431483
256,tual,-5.6667,132.75,27.16,82,100,4.89,ID,1728431484
257,tikhvin,59.6451,33.5294,1.79,91,89,1.96,RU,1728431485
258,jiangyan,32.5061,120.1428,16.17,60,92,0.39,CN,1728431486
259,crescent city,41.756,-124.2018,17.2,82,75,3.09,US,1728431487
260,pasuquin,18.3328,120.6177,24.97,100,75,2.06,PH,1728431489
261,axim,4.8699,-2.2405,24.53,91,66,2.45,GH,1728431490
262,makurazaki,31.2667,130.3167,20.79,71,16,2.44,JP,1728431492
263,solleftea,63.1667,17.2667,10.92,96,100,2.47,SE,1728431295
264,tadine,-21.55,167.8833,25.2,50,27,3.06,NC,1728431495
265,campbellton,48.0075,-66.6727,9.25,93,97,1.96,CA,1728431496
266,gemena,3.25,19.7667,20.6,98,60,0.94,CD,1728431500
267,staryye ozinki,51.1786,49.6769,13.26,61,100,3.37,RU,1728431501
268,contai,21.7786,87.7536,25.01,94,74,2.44,IN,1728431502
269,goz beida,13.95,20.55,27.17,64,37,3.03,TD,1728431504
270,mumford,5.2618,-0.759,23.85,93,78,2.74,GH,1728431505
271,ola,59.5833,151.2833,-1.66,52,72,5.33,RU,1728431506
272,port elizabeth,-33.918,25.5701,17.16,98,0,5.14,ZA,1728431389
273,al ghayzah,16.2079,52.176,25.06,81,47,3.06,YE,1728431510
274,pingdu,36.7844,119.9464,14.78,62,100,1.52,CN,1728431511
275,bubaque,11.2833,-15.8333,27.67,79,100,3.02,GW,1728431512
276,mostaganem,35.9311,0.0892,22.2,63,59,2.69,DZ,1728431513
277,rio san juan,19.6439,-70.0763,27.45,77,91,3.49,DO,1728431514
278,vilyuchinsk,52.9306,158.4028,5.15,85,98,5.39,RU,1728431516
279,ambazac,45.9598,1.4006,14.18,97,100,4.23,FR,1728431517
280,pisco,-13.7,-76.2167,18.03,82,0,8.23,PE,1728431518
281,sur,22.5667,59.5289,25.83,65,0,3.0,OM,1728431519
282,saqqez,36.2499,46.2735,13.58,27,0,1.22,IR,1728431520
283,pyin oo lwin,22.0333,96.4667,17.96,94,94,1.19,MM,1728431521
284,hola,51.5377,23.1902,14.08,76,48,5.17,PL,1728431523
285,el charco,2.4769,-78.1105,23.85,92,100,1.69,CO,1728431524
286,kavieng,-2.5744,150.7967,29.4,65,15,3.3,PG,1728431525
287,lata,40.1629,-8.3327,19.72,47,100,4.19,PT,1728431526
288,ghadamis,30.1337,9.5007,30.74,20,36,3.96,LY,1728431527
289,abha,18.2164,42.5053,16.14,72,0,0.0,SA,1728431529
290,sos'va,59.1766,61.8558,-0.28,73,79,2.55,RU,1728431531
291,talnakh,69.4865,88.3972,-10.13,95,100,1.77,RU,1728431532
292,lethem,3.3803,-59.7968,30.3,53,71,4.39,GY,1728431534
293,barah,13.7,30.3667,29.39,52,92,4.13,SD,1728431535
294,dolores,-36.3132,-57.6792,8.48,93,15,5.49,AR,1728431536
295,sumbawa besar,-8.5,117.4333,30.57,45,93,1.41,ID,1728431537
296,chaeryong-up,38.3992,125.6156,16.01,75,25,1.55,KP,1728431539
297,camana,-16.6228,-72.7111,17.92,91,100,3.04,PE,1728431541
298,cabo san lucas,22.8909,-109.9124,30.17,61,40,3.6,MX,1728431300
299,sisimiut,66.9395,-53.6735,1.92,74,34,1.26,GL,1728431545
300,bereznik,62.8551,42.7072,-0.03,84,100,2.2,RU,1728431546
301,carloforte,39.145,8.3058,20.94,79,74,4.94,IT,1728431547
302,margate,51.3813,1.3862,13.16,86,100,0.45,GB,1728431548
303,lagos,6.5833,3.75,24.5,93,54,1.45,NG,1728431550
304,nampula,-15.1165,39.2666,19.97,83,75,4.12,MZ,1728431552
305,pitkyaranta,61.5734,31.4792,3.31,75,98,3.73,RU,1728431553
306,shiguai,40.7058,110.2856,11.05,71,61,1.7,CN,1728431554
307,jinghong,21.991,100.7341,21.07,84,74,0.11,CN,1728431555
308,guerrero negro,27.9769,-114.0611,24.51,61,0,5.51,MX,1728431493
309,alice springs,-23.7,133.8833,27.75,17,5,3.6,AU,1728431558
310,prado,-17.3411,-39.2208,24.28,85,26,6.1,BR,1728431559
311,vilani,56.5525,26.9245,6.02,94,86,3.83,LV,1728431560
312,kyzylorda,44.8528,65.5092,7.01,45,0,2.0,KZ,1728431562
313,sao vicente,-23.9631,-46.3919,21.66,26,89,2.23,BR,1728431564
314,funafuti,-8.5243,179.1942,28.0,94,75,2.57,TV,1728431565
315,luwuk,-0.9516,122.7875,26.9,71,72,2.26,ID,1728431567
316,saldanha,-33.0117,17.9442,15.03,97,17,3.41,ZA,1728431568
317,nikolayevsk-on-amure,53.1406,140.73,5.24,75,95,2.93,RU,1728431569
318,rongelap,11.1635,166.8941,28.72,75,66,4.6,MH,1728431570
319,rakops,-21.0167,24.3333,22.42,30,27,7.21,BW,1728431571
320,kavaratti,10.5669,72.642,26.26,88,100,4.96,IN,1728431572
321,colonia,50.9333,6.95,14.51,86,0,4.63,DE,1728431528
322,cockburn town,21.4612,-71.1419,28.98,84,40,3.09,TC,1728431575
323,ak'ordat,15.5486,37.8867,29.25,45,55,1.54,ER,1728431576
324,saladas,-28.2538,-58.6259,19.27,91,100,5.49,AR,1728431577
325,barra,-11.0894,-43.1417,26.54,47,6,2.7,BR,1728431578
326,oak grove,45.4168,-122.6401,21.66,69,75,3.09,US,1728431570
327,fale old settlement,-9.3852,-171.2468,28.12,71,43,6.35,TK,1728431580
328,ugoofaaru,5.6667,73.0,27.54,85,99,9.87,MV,1728431582
329,sala,34.0389,-6.8166,16.38,100,40,1.54,MA,1728431583
330,freetown,8.484,-13.2299,25.57,86,85,3.2,SL,1728431584
331,sabang,5.8933,95.3214,27.29,77,92,3.34,ID,1728431585
332,lompoc,34.6391,-120.4579,21.23,90,100,6.69,US,1728431586
333,smithers,54.7804,-127.1743,11.18,62,40,2.57,CA,1728431587
334,mar del plata,-38.0023,-57.5575,9.01,86,100,6.71,AR,1728431504
335,contamana,-7.3333,-75.0167,26.9,73,91,1.07,PE,1728431590
336,cabedelo,-6.9811,-34.8339,25.37,80,6,5.31,BR,1728431591
337,olinda,-8.0089,-34.8553,25.85,78,75,4.12,BR,1728431592
338,mil'kovo,55.6078,37.7956,11.08,73,100,4.0,RU,1728431593
339,bonthe,7.5264,-12.505,25.57,87,70,2.21,SL,1728431594
340,porto novo,6.4965,2.6036,22.9,91,30,1.9,BJ,1728431596
341,beledweyne,4.7358,45.2036,25.27,72,0,6.58,SO,1728431599
342,crane,31.3974,-102.3501,28.89,24,0,4.12,US,1728431600
343,paranaiba,-19.6772,-51.1908,35.05,22,90,2.64,BR,1728431602
344,newman,37.3138,-121.0208,35.58,22,2,3.13,US,1728431603
345,fuman,37.2273,49.3142,19.71,84,0,1.43,IR,1728431604
346,bom sucesso,-21.0331,-44.7581,27.09,36,60,3.57,BR,1728431605
347,pratapgarh,24.0333,74.7833,23.23,61,2,1.45,IN,1728431606
348,dongola,19.1667,30.4833,29.86,11,2,6.15,SD,1728431607
349,dinguiraye,11.3,-10.7167,21.14,97,100,0.52,GN,1728431609
350,colon,9.3592,-79.9014,25.61,87,100,2.24,PA,1728431610
351,morondava,-20.2833,44.2833,21.93,70,0,3.24,MG,1728431611
352,kuta,-8.7233,115.1723,26.97,94,75,2.57,ID,1728431612
353,nadym,65.5333,72.5167,-2.51,67,95,7.96,RU,1728431614
354,manturovo,58.3353,44.7619,3.95,77,100,5.76,RU,1728431615
355,guiuan,11.0333,125.7247,28.73,75,100,3.56,PH,1728431617
356,kaduy,59.2,37.15,1.98,97,100,3.84,RU,1728431618
357,saipan,15.1355,145.701,31.39,74,0,4.63,MP,1728431620
358,auburn,47.3073,-122.2284,20.43,82,75,3.6,US,1728431515
359,mao,39.8885,4.2658,21.31,73,0,6.17,ES,1728431622
360,ponte vedra beach,30.2397,-81.3856,25.57,90,100,5.66,US,1728431623
361,alofi,-19.0595,-169.9187,25.94,65,75,9.26,NU,1728431624
362,usogorsk,63.4106,48.6872,-0.62,86,46,2.06,RU,1728431626
